time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1653	1.35759	5.18142	0.235382	0.20621	radar	4.87849	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3891	1.43622	5.14328	0.255759	0.219203	lidar	1.08002	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.618	1.51908	4.98235	0.278768	0.237111	radar	3.40447	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.84	1.54702	4.94053	0.272083	0.214164	lidar	1.17787	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1083	1.59918	5.04282	0.271426	0.19843	radar	2.28187	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3894	1.64439	5.09306	0.266463	0.179328	lidar	2.14743	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6194	1.70002	5.022	0.271705	0.175439	radar	0.705818	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8481	1.76314	5.00036	0.279239	0.17398	lidar	0.269285	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1065	1.85521	5.12229	0.295066	0.181377	radar	1.51201	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3505	1.88225	5.09819	0.281137	0.152494	lidar	0.680653	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6081	1.94453	5.18314	0.281597	0.142112	radar	0.80638	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8091	2.07901	5.14181	0.323202	0.185539	lidar	3.21475	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0786	2.19097	5.29205	0.341018	0.193731	radar	2.94185	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2841	2.33215	5.25539	0.380056	0.230621	lidar	2.516	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4588	2.47595	5.03396	0.425999	0.279348	radar	11.0191	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7095	2.59094	5.07379	0.441294	0.280852	lidar	0.903986	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9285	2.70333	5.04224	0.458585	0.285807	radar	0.163139	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1578	2.85734	5.07857	0.490842	0.307961	lidar	0.606867	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4097	2.9718	5.20925	0.494304	0.288354	radar	1.39142	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6165	3.03898	5.13184	0.486238	0.260818	lidar	2.32034	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8486	3.19844	5.23379	0.512817	0.274841	radar	3.52813	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0591	3.39219	5.26597	0.557546	0.313095	lidar	0.980313	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2685	3.56089	5.20542	0.591236	0.339606	radar	2.62245	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4838	3.74782	5.24481	0.625294	0.360552	lidar	0.51295	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6941	3.88274	5.21466	0.635301	0.35131	radar	1.05297	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9168	4.02215	5.21631	0.642762	0.338876	lidar	0.238883	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1111	4.18151	5.11136	0.668273	0.35572	radar	1.63364	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.308	4.37593	5.14706	0.700499	0.373371	lidar	0.339791	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5186	4.5412	5.18502	0.713294	0.364468	radar	0.668387	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.696	4.70521	5.15596	0.732433	0.365627	lidar	0.500265	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8485	4.8867	4.96396	0.773325	0.406506	radar	3.74933	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0103	5.11389	5.01289	0.817184	0.435191	lidar	0.662945	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1817	5.27671	4.97339	0.831227	0.427148	radar	1.53847	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3384	5.45656	4.95653	0.852738	0.427347	lidar	0.149987	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4964	5.61579	4.88597	0.866416	0.420815	radar	2.86882	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6866	5.73611	4.82816	0.853444	0.379706	lidar	1.46827	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8333	5.92213	4.76727	0.88055	0.394774	radar	0.675425	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0045	6.11889	4.80616	0.898197	0.392353	lidar	0.918743	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.157	6.32299	4.84843	0.920262	0.39375	radar	0.85624	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2768	6.56981	4.90221	0.965775	0.424925	lidar	0.814718	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4104	6.77984	4.8964	0.99189	0.432543	radar	0.255858	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.557	6.91258	4.79655	0.984121	0.397198	lidar	1.53021	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7083	7.11951	4.88037	0.993792	0.378327	radar	0.799043	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9055	7.25796	4.83066	0.969456	0.326799	lidar	3.70447	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9965	7.44893	4.68923	1.00529	0.359949	radar	3.67599	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0843	7.72659	4.78552	1.06013	0.404127	lidar	1.72913	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2074	7.93027	4.80192	1.07335	0.393066	radar	0.273532	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.285	8.15154	4.79122	1.10758	0.410089	lidar	1.28882	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3855	8.36068	4.8171	1.12306	0.39813	radar	2.17132	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4807	8.50328	4.68441	1.1236	0.374791	lidar	3.19411	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5747	8.70525	4.64003	1.14401	0.380115	radar	0.451833	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7351	8.88325	4.62391	1.12969	0.341362	lidar	3.99964	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.812	9.09751	4.56903	1.16077	0.3649	radar	0.961589	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.939	9.33507	4.63963	1.17229	0.357723	lidar	3.33061	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9885	9.54649	4.53015	1.21361	0.397675	radar	2.40693	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0716	9.7981	4.60223	1.24104	0.40699	lidar	1.08639	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.133	10.0502	4.69188	1.26923	0.410492	radar	7.39351	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1776	10.3366	4.79369	1.31314	0.438063	lidar	1.1564	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1947	10.5687	4.71701	1.36078	0.480151	radar	2.84482	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2498	10.8526	4.81878	1.3925	0.489439	lidar	2.18687	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2773	11.1147	4.87903	1.4237	0.493279	radar	4.8833	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3117	11.3533	4.87397	1.44702	0.491748	lidar	0.00311801	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2586	11.5975	4.75817	1.52435	0.57896	radar	10.3013	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.33	11.8365	4.76778	1.52806	0.55065	lidar	4.90042	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3557	12.073	4.84023	1.53152	0.50138	radar	3.85673	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3386	12.3705	4.95096	1.57288	0.519651	lidar	1.03919	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2892	12.606	4.86209	1.63145	0.578067	radar	3.07852	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.316	12.8409	4.8425	1.64169	0.557363	lidar	1.94094	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3061	13.0679	4.80636	1.66559	0.555075	radar	2.09081	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2732	13.2751	4.74444	1.69371	0.555402	lidar	0.949927	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2359	13.5087	4.76008	1.71874	0.545739	radar	1.31249	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2126	13.773	4.81541	1.74141	0.540732	lidar	1.39089	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1592	13.9965	4.77532	1.77679	0.557438	radar	0.804006	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1006	14.2577	4.83512	1.80776	0.560966	lidar	0.393449	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0292	14.4862	4.83318	1.83878	0.56217	radar	1.36455	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.916	14.7491	4.91876	1.88456	0.581664	lidar	1.1436	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8507	14.9653	4.89764	1.89978	0.553375	radar	3.40915	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8252	15.1758	4.82287	1.90644	0.530542	lidar	2.20921	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6968	15.3794	4.731	1.98287	0.632625	radar	7.75011	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6752	15.5555	4.5989	1.98789	0.603639	lidar	3.32897	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5876	15.7534	4.57699	2.01228	0.592459	radar	1.26458	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4794	15.9731	4.61101	2.04347	0.594147	lidar	0.0860762	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3813	16.1781	4.62312	2.05769	0.559659	radar	1.81903	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2724	16.3553	4.57289	2.08756	0.561771	lidar	0.45233	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1588	16.5474	4.5596	2.1168	0.56511	radar	0.230445	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
